PRODID	NAME
849	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 10 Партнер
1140	Виферон супп.рект. 3 млн.МЕ уп.контурн.яч. 10 пач.картон. 2 Ферон
1141	Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 пач.картон. 2 Ферон
1142	Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 Ферон
1143	Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 пач.картон. 2 Ферон
1144	Виферон супп.рект. 1000000 МЕ уп.контурн.яч. 10 Ферон
1145	Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 № 2 Ферон
1146	Виферон супп.рект. 1000000 МЕ уп.контурн.яч. 10 пач.картон. 2 Ферон
1147	Виферон супп.рект. 3 млн.МЕ уп.контурн.яч. 10 пач.картон. 1 Ферон
1148	Виферон супп.рект. 1000000 МЕ уп.контурн.яч. 10 № 3 Ферон
1149	Виферон супп.рект. 3 млн.МЕ уп.контурн.яч. 10 Ферон
1150	Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 Ферон
1151	Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 № 1 Ферон
1153	Виферон-мазь мазь 40000 МЕ/г бан. 10 г Ферон
2129	Интерферон человеческий лейкоцитарный супп.рект. 40000 МЕ уп.контурн.яч. 5 кор. 2 Фермент
2131	Интерферон человеческий лейкоцитарный в свечах супп.рект. 40000 МЕ уп.пл./флг. 1 кор. 10 Биомед НПО
2132	Интерферон человеческий лейкоцитарный в свечах супп.рект. 30000 МЕ уп.флг. 20 кор. 1 Иммунопрепарат
2134	Интерферон человеческий рекомбинантный для инъекций сухой (Реколин) пор.лиоф.д/ин. 1 млн.МЕ амп. [с
2135	Интерферон человеческий рекомбинантный для инъекций сухой (Реколин) пор.лиоф.д/ин. 3 млн.МЕ амп. 1 м
2137	Интрон А пор.лиоф.д/ин. 5 млн.МЕ фл. кор. 1 Schering-Plough (Brinny) Company
2138	Интрон А пор.лиоф.д/ин. 3 млн.МЕ фл. кор. 1 Schering-Plough (Brinny) Company
4020	Реальдирон пор.лиоф.д/ин. 1 млн.МЕ амп. пач.картон. 5 Биотехна
4021	Реальдирон пор.лиоф.д/ин. 6 млн.МЕ амп. пач.картон. 5 Биотехна
4022	Реальдирон пор.лиоф.д/ин. 3 млн.МЕ амп. пач.картон. 5 Биотехна
4024	Реаферон-ЕС пор.д/ин. 3 млн.МЕ амп. [с нож.амп.] уп.контурн.яч. 5 Вектор-Фарм
4025	Реаферон-ЕС пор.д/ин. 5 млн.МЕ амп. [с нож.амп.] уп.контурн.яч. 5 Вектор-Фарм
4026	Реаферон-ЕС пор.д/ин. 1 млн.МЕ 1 доз амп.в уп.контурн.яч. [с нож.амп.] пач.картон. 10 Вектор-Фарм
4028	Реаферон-ЕС-Липинт пор.лиоф.д/р-ра для приема внутрь 50000 МЕ фл.в уп.контурн.яч. 1 мл 5 уп.контурн.
4107	Роферон А р-р д/ин. 9 млн МЕ/0,5 мл шпр.-тюб. кор. 1 Roche
4108	Роферон А р-р д/ин. 4,5 млн МЕ/мл фл. кор. 1 Roche
4109	Роферон А р-р д/ин. 9 млн МЕ/мл фл. кор. 1 Roche
4110	Роферон А р-р д/ин. 6 млн МЕ/мл фл. кор. 1 Roche
4111	Роферон А р-р д/ин. 4,5 млн МЕ/0,5 мл шпр.-тюб. кор. 1 Roche
4112	Роферон А р-р д/ин. 3 млн МЕ/мл фл. 1 мл кор. 409 Roche
4113	Роферон А р-р д/ин. 3 млн МЕ/мл фл. кор. 1 Roche
4114	Роферон А р-р д/ин. 6 млн МЕ/0,5 мл шпр.-тюб. кор. 1 Roche
4115	Роферон А р-р д/ин. 3 млн МЕ/0,5 мл шпр.-тюб. кор. 1 Roche
6135	Авонекс пор.лиоф.д/ин. 30 мкг фл. [с р-лем, шпр., игл.] кор. 4 Biogen
6982	Актипол капли глазн. 70 мг/2 мл амп. 2 мл
6983	Актипол р-р д/ин.внутриглазн. 70 мг/2 мл амп. 2 мл
7169	Алкимер капс. бл. 30 кор. 2 Krotex
7170	Алкимер капс. 385 мг Exposan AB
8548	Альфаферон р-р д/ин. 6 млн МЕ/мл амп. 1 мл кор. 1 Alfa Wassermann
8549	Альфаферон р-р д/ин. 3 млн МЕ/мл амп. 1 мл кор. 1 Alfa Wassermann
8550	Альфаферон р-р д/ин. 1 млн МЕ/мл амп. 1 мл кор. 1 Alfa Wassermann
8782	Амиксин субст. бан.темн.стекл. 0,5 кг Интерхим
8783	Амиксин субст. бан. 500 г Одесский физико-химический институт
8784	Амиксин субст. бан. 500 г ЛЭНС-Фарм
8785	Амиксин субст. пак.2-сл. 2 кг бум. 1 Интерхим
8786	Амиксин субст. пак.2-сл. 1 кг бум. 1 Интерхим
8787	Амиксин субст. пак.2-сл. 0,5 кг бум. 1 Интерхим
8788	Амиксин субст. бан. 500 г Биологические исследования и системы
8789	Амиксин табл.п.о. 60 мг компл.уп.-фармац. 10 пач.картон. 1 Дальхимфарм
8790	Амиксин табл.п.о. 60 мг компл.уп.-фармац. 6 пач.картон. 1 Дальхимфарм
8792	Амиксина таблетки 0,125 г табл.п.о. 125 мг уп.контурн.яч. Одесский физико-химический институт
8793	Амиксина таблетки 0,125 г табл.п.о. 0,125 г бан. 10 кор. 1 Дальхимфарм
8794	Амиксина таблетки 0,125 г табл.п.о. 0,125 г бан. 10 кор. 1 ЛЭНС-Фарм
8795	Амиксина таблетки 0,125 г табл.п.о. 0,125 г бан. 6 кор. 1 ЛЭНС-Фарм
10069	Анандина раствор для инъекций 10% р-р д/ин. 10 % амп. 2 мл пач.картон. 10
10070	Анандина раствор для инъекций 10% р-р д/ин. 10 % амп. 2 мл пач.картон. 5
10969	Аполлон-Ива табл. 0,25 г бан. 100 Тринита НПП
11285	Арбидол капс. 0,05 г Мосхимфармпрепараты
11286	Арбидол табл.п.о. 0,1 г уп.контурн.яч. 10 кор. 2 Мосхимфармпрепараты
11287	Арбидол табл.п.о. 0,1 г уп.контурн.яч. 10 кор. 1 Мосхимфармпрепараты
11288	Арбидол субст.крист.
11289	Арбидол капс. 0,1 г Мосхимфармпрепараты
11291	Арбидол-ЛЭНС табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 1 ЛЭНС-Фарм
11292	Арбидол-ЛЭНС табл.п.о. 0,1 г бл. 10 кор. 1 ЛЭНС-Фарм
11294	Арбидола таблетки, покрытые оболочкой, 0,1 г табл.п.о. 0,1 г уп.контурн.яч. 10 Оболенское - фармацев
12215	Атлант-Ива табл. 0,25 г бан. 100 Тринита НПП
12216	Атлант-Ива капс. 0,4 г бан. 100 Тринита НПП
13240	Бактиспорин пор.лиоф.д/р-ра для приема внутрь 1 доз амп. [с нож.амп.] пач.картон. 10 Иммунопрепарат
15685	Бифидумбактерин табл. 10 млн.КОЕ уп.контурн.яч. 25 пач.картон. 2 Иммуно-Гем
15686	Бифидумбактерин капс. 5 доз бан. 10 пач.картон. 1 Экотем НОЦ
15687	Бифидумбактерин табл. 10 млн.КОЕ уп.контурн.яч. 10 пач.картон. 2 Иммуно-Гем
15688	Бифидумбактерин табл. 10 млн.КОЕ фл. 20 пач.картон. 1 Иммуно-Гем
15689	Бифидумбактерин капс. 5 доз бан. 20 пач.картон. 1 Экотем НОЦ
15690	Бифидумбактерин табл. 10 млн.КОЕ фл. 20 кор. 10 Иммуно-Гем
15691	Бифидумбактерин капс. 5 доз бан. 20 пач.картон. 1 Ланафарм
15692	Бифидумбактерин капс. 5 доз бан. 10 пач.картон. 1 Ланафарм
15693	Бифидумбактерин табл. 10 млн.КОЕ фл. 10 кор. 10 Иммуно-Гем
15694	Бифидумбактерин табл. 10 млн.КОЕ уп.контурн.яч. 50 пач.картон. 2 Иммуно-Гем
15695	Бифидумбактерин табл. фл. 20 пач.картон. 1 Витафарма
15696	Бифидумбактерин табл. фл. 30 пач.картон. 1 Витафарма
15697	Бифидумбактерин супп.ваг. уп.бум. 1 пач.картон. 10 Витафарма
15702	Бифидумбактерин в порошке пор.лиоф.доз. 5 доз пак.бум.ламин.ПЭ
15704	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 100 мл Репликон ПКП
15705	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 15 мл Репликон ПКП
15706	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 25 мл Репликон ПКП
15707	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 250 мл Репликон ПКП
15708	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 50 мл Репликон ПКП
15709	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 10 мл Репликон ПКП
15710	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 200 мл Репликон ПКП
15711	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 20 мл Репликон ПКП
15712	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 5 мл Репликон ПКП
15713	Бифидумбактерин нативный жидкий жидк. для приема внутрь фл. 400 мл Репликон ПКП
15714	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Биопрепарат РАО
15715	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Казанское предприят
15716	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз амп. пач.картон. 10 ИмБио
15717	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 3 доз амп. [с нож.амп.] пач.картон. 10 Биоме
15718	Бифидумбактерин сухой в свечах супп.рект. уп.контурн.яч. 5 пач.картон. 2 Био-Ферм
15719	Бифидумбактерин сухой в свечах супп.рект. уп.контурн.яч. 5 пач.картон. 2 Предприятие по производству
15720	Бифидумбактерин сухой в свечах супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Витафарма
15721	Бифидумбактерин форте пор.доз. 5 доз пак.флг.ламин.ПЭ 1 Партнер
15723	Бифидумбактерин-1000-ТМ табл. 0,3 г уп. 30 Экко плюс
15724	Бифидумбактерин-1000-ТМ табл. 0,2 г фл. 30 Экко плюс
20539	Виферон мазь 40000 МЕ/г бан.п/стир. 12 г пач.картон. 1 Ферон
20540	Виферон мазь 40000 МЕ/г бан. 9 г Ферон
20542	Виферон (Интерферон человеческий рекомбинантный альфа-2 в свечах) супп.рект. 500000 МЕ уп.контурн.яч
20543	Виферон (Интерферон человеческий рекомбинантный альфа-2 в свечах) супп.рект. 1000000 МЕ уп.контурн.я
20544	Виферон (Интерферон человеческий рекомбинантный альфа-2 в свечах) супп.рект. 150000 МЕ уп.контурн.яч
20545	Виферон-мазь мазь 40000 МЕ/г бан. 10 г Бизнес Консалтинг Инвестмент
20546	Виферон-мазь мазь 40000 МЕ/г бан. 10 г пач.картон. 1 Ферон
20547	Виферон-мазь мазь 40000 МЕ/г бан. 10 г пач.картон. 1 Бизнес Консалтинг Инвестмент
20582	Вобэ-мугос Е табл.п.о.раствор./кишечн. бл. 20 кор. 2 Mucos Pharma
20583	Вобэ-мугос Е табл.п.о.раствор./кишечн. бл. 20 кор. 1 Mucos Pharma
20584	Вобэ-мугос Е табл.п.о.раствор./кишечн. бл. 20 кор. 5 Mucos Pharma
20586	Вобэнзим табл.п.о.раствор./кишечн. бл. 20 кор. 2 Mucos Pharma
20587	Вобэнзим табл.п.о.раствор./кишечн. фл. 800 Mucos Pharma
20588	Вобэнзим табл.п.о.раствор./кишечн. бл. 20 кор. 10 Mucos Pharma
20822	Вэллферон р-р д/ин. 3000000 МЕ/мл фл. 1 мл кор. 1 Glaxo Wellcome Operations
21944	Гепон пор.лиоф.д/р-ра для приема внутрь фл. 2 мг [с р-лем (вода д/ин.), амп.] пач.картон. 1 Иммафарм
21945	Гепон пор.лиоф.д/р-ра для приема внутрь 10 мг фл. Иммафарма
21946	Гепон пор.лиоф.д/р-ра для приема внутрь фл. 2 мг [с р-лем, амп., шпр.] пач.картон. 1 Иммафарма
21947	Гепон субст.-пор. фл. 2 г пач.картон. 1 Иммафарма
21948	Гепон обр.станд.-пор. 5 мг амп. 1 мл Иммафарма
21949	Гепон субст.-пор. фл. 10 мг пач.картон. 1 Иммафарма
21950	Гепон пор.лиоф.д/р-ра для приема внутрь фл. 2 мг пач.картон. 1 Иммафарма
21951	Гепон пор.лиоф.д/р-ра для приема внутрь фл. 2 мг пач.картон. 30 Иммафарма
21952	Гепон пор.лиоф.д/р-ра для приема внутрь фл. 2 мг пач.картон. 3 Иммафарма
22428	Гинрозин табл.шип. 3,5 г Сантэфарм
22429	Гинрозин капс. бан.
22430	Гинрозин табл.шип. 3,5 г Фито-Продукт НПП
22431	Гинрозин капс. уп.контурн.яч.
22432	Гинрозин гран. пак. 1 г
22984	Глутоксим р-р д/ин. 1 % амп.в бл. 2 мл 5 [с кольц.надлома] пач.картон. 1 ФАРМА ВАМ
22985	Глутоксим субст. фл. 1 г Фармсинтез ЗАО
22986	Глутоксим субст.-пор. фл. 1 г кор. 5 ФАРМА ВАМ
22987	Глутоксим р-р д/ин. 3 % амп.в бл. 2 мл 5 [с кольц.надлома] пач.картон. 1 ФАРМА ВАМ
22988	Глутоксим р-р д/ин. 3 % амп.в бл. 1 мл 5 [с кольц.надлома] пач.картон. 1 ФАРМА ВАМ
22989	Глутоксим р-р д/ин. 0,5 % амп.в бл. 1 мл 5 [с кольц.надлома] пач.картон. 1 ФАРМА ВАМ
22990	Глутоксим р-р д/ин. 1 % амп.в бл. 1 мл 5 [с кольц.надлома] пач.картон. 1 ФАРМА ВАМ
22992	Глутоксим - стандартный образец обр.станд.-пор. фл. 1 г кор. 5 ФАРМА ВАМ
24061	Гриппферон капли наз. 10000 МЕ/мл фл.-кап. 10 мл кор. 1 Фирн М
24062	Гриппферон капли наз. 10000 МЕ/мл фл.-кап. 10 мл кор. 1
24064	Гроприносин табл. 500 мг бл. 25 кор. 2 Grodziskie Zaklady Farmaceutyczne "Polfa"
24819	Дезоксинат субст. бан. 50 г Фармзащита НПЦ
24820	Дезоксинат р-р д/ин. 0,5 % амп. 5 мл [с нож.амп.] кор. 10 Фармзащита НПЦ
24821	Дезоксинат субст. бан. 100 г Фармзащита НПЦ
24822	Дезоксинат субст. бан. 20 г Фармзащита НПЦ
24823	Дезоксинат р-р наружн. 0,25 % фл.стекл. 50 мл пач.картон. 1 Фармзащита НПЦ
24909	Декарис табл. 50 мг уп.контурн.яч. 2 кор. 1 Gedeon Richter
24910	Декарис табл. 150 мг уп.контурн.яч. 1 кор. 1 Gedeon Richter
25191	Деринат р-р наружн. 0,25 % фл.-кап.темн.стекл. 10 мл кор. 1 Техномедсервис
25192	Деринат р-р наружн. 0,25 % фл. 10 мл кор. 1 Техномедсервис
25193	Деринат р-р д/ин. 1,5 % амп. 2 мл кор. 10 Техномедсервис
25194	Деринат р-р д/ин. 1,5 % амп. 5 мл уп. 1 Техномедсервис
25195	Деринат р-р д/ин. 1,5 % амп. 5 мл кор. 5 Техномедсервис
25201	Дерината раствор 0,6% в растворе натрия хлорида 0,1% субст.жидк. 0,6 % фл. 450 мл
25302	Десмодиума канадского трава лек.раст.сырье меш. 15 кг
25303	Десмодиума канадского трава лек.раст.сырье тюк 30 кг
27474	Доктор Тайсс капли от гриппа капли для приема внутрь фл.с дозат. 30 мл кор. 1 Dr. Theiss Naturwaren
30513	Изопринозин табл. 500 мг бл. 10 Biogal
30514	Изопринозин табл. 500 мг бл. 10 кор. 5 Biogal
31516	Интераль пор.д/ин. 1 млн.МЕ 1 доз амп. [с нож.амп.] пач.картон. 5 ГНИИ ОЧБ
31517	Интераль пор.д/ин. 3 млн.МЕ 3 доз амп. [с нож.амп.] пач.картон. 5 ГНИИ ОЧБ
31518	Интераль пор.д/ин. 3 млн.МЕ 3 доз амп. [с нож.амп.] пач.картон. 10 ГНИИ ОЧБ
31519	Интераль пор.д/ин. 5 млн.МЕ 5 доз амп. [с нож.амп.] пач.картон. 5 ГНИИ ОЧБ
31520	Интераль пор.д/ин. 500000 МЕ амп. [с нож.амп.] пач.картон. 10 ГНИИ ОЧБ
31521	Интераль пор.д/ин. 1 млн.МЕ 1 доз амп. [с нож.амп.] пач.картон. 10 ГНИИ ОЧБ
31522	Интераль пор.д/ин. 5 млн.МЕ 5 доз амп. [с нож.амп.] пач.картон. 10 ГНИИ ОЧБ
31523	Интераль пор.д/ин. 500000 МЕ амп. [с нож.амп.] пач.картон. 5 ГНИИ ОЧБ
31524	Интераль субст. бут. 250 мл конт. 1 ГНИИ ОЧБ
31544	Интерферон альфа-2 человеческий рекомбинантный субст.жидк. 17 млн МЕ/мл фл.д/кровезам. 250 мл Вектор
31546	Интерферон лейкоцитарный человеческий сухой пор.лиоф.д/р-ра наз. 1000 МЕ 4 доз амп. [с нож.амп.] кор
31547	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 2 доз амп. [с нож.амп.] кор. 10 Санкт-
31548	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. [с нож.амп.] кор. 10 Биомед
31549	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. [с нож.амп.] кор. 10 Биомед
31550	Интерферон лейкоцитарный человеческий сухой пор.лиоф.д/р-ра наз. 1000 МЕ 4 доз амп. [с нож.амп.] кор
31551	Интерферон лейкоцитарный человеческий сухой пор.лиоф.д/ин. 1000 МЕ амп. 2 мл Биофарма - предприятие
31552	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. кор. 10 Иммунопрепарат
31553	Интерферон лейкоцитарный человеческий сухой пор.лиоф. амп. 0,5 мл Биолек - предприятие по производст
31554	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 2 доз амп. [с нож.амп.] кор. 10 Биопре
31555	Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. [с нож.амп.] кор. 5 Биомед
31556	Интерферон человеческий лейкоцитарный в свечах супп.рект. 40000 МЕ уп.контурн.яч. 5 кор. 2 Био-Ферм
31557	Интерферон человеческий лейкоцитарный в свечах супп.рект. 40000 МЕ уп.контурн.яч. 5 кор. 2 Интекор Н
31559	Интерферон человеческий лейкоцитарный для инъекций пор.лиоф.д/ин.
31560	Интерферон человеческий лейкоцитарный для инъекций пор.лиоф.д/ин. 1 млн МЕ/мл амп. 1 мл [с нож.амп.]
31562	Интерферон человеческий рекомбинантный альфа-2 субст.
31564	Интерферон человеческий рекомбинантный альфа-2 (полуфабрикат) субст. фл. 250 мл ГНИИ ОЧБ
31566	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 2 г кор. 5 Вектор-Фарм
31567	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 5 г кор. 5 Вектор-Фарм
31568	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 3 г кор. 5 Вектор-Фарм
31569	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 5 г кор. 1 Вектор-Фарм
31570	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 2 г кор. 1 Вектор-Фарм
31571	Интерферона альфа-2 рекомбинантного мазь на гидрогелевой основе мазь фл. 1 г кор. 5 Вектор-Фарм
31618	Интрон А пор.лиоф.д/ин. 30 млн.МЕ фл. кор. 1 Schering-Plough (Brinny) Company
31619	Интрон А пор.лиоф.д/ин. 10 млн.МЕ фл. кор. 1 Schering-Plough (Brinny) Company
31635	Инфагель мазь 10000 МЕ/г фл. 3 г пач.картон. 1 Вектор-Фарм
31636	Инфагель мазь 10000 МЕ/г фл. 2 г пач.картон. 1 Вектор-Фарм
31637	Инфагель мазь 10000 МЕ/г фл. 1 г пач.картон. 1 Вектор-Фарм
31638	Инфагель мазь 10000 МЕ/г фл. 5 г пач.картон. 1 Вектор-Фарм
31651	Инфлюцид р-р для приема внутрь фл.-кап.темн.стекл. 30 мл кор. 1 DHU
31652	Инфлюцид табл.д/рассас. бл. 20 кор. 3 DHU
32129	Йодантипирина таблетки 0,1 г табл. 0,1 г бан. 50 пач.картон. 1 Асфарма
32130	Йодантипирина таблетки 0,1 г табл. 0,1 г бан. 50 пач.картон. 1 НЗМП
33703	Капли Береш Плюс капли для приема внутрь фл. 100 мл кор. 1 Beres
33704	Капли Береш Плюс капли для приема внутрь фл. 30 мл кор. 1 Beres
35129	Кислота п-аминобензойная субст.-пор. бан. 200 г
39185	Левамизола гидрохлорида таблетки 0,15 г табл. 150 мг
39186	Левамизола гидрохлорида таблетки 0,15 г табл. 150 мг уп.контурн.яч. 1 пач.картон. 1 Здоровье - фарма
40489	Липинт масса порист. фл.в уп.контурн.яч. 1 мл пач.картон. 1 Вектор-Медика
40840	Локферон пор.д/капель глазн. 8000 МЕ фл. кор. 1 Биомед им. И.И.Мечникова
42036	Марина табл. 0,25 г бан. 100 Тринита НПП
44725	Милайф табл. 0,2 г уп.контурн.яч. 30 пач.картон. 2 ДИЖА
44726	Милайф табл. 0,05 г бан.полимерн. 50 пач.картон. 1 ДИЖА
44727	Милайф табл. 0,05 г уп.контурн.яч. 50 пач.картон. 2 ДИЖА
44728	Милайф субст. меш.ПЭ 5 кг меш.бум. 1 ДИЖА
44729	Милайф субст. пак.ПЭ 2 г кор. 1 ДИЖА
45139	Моликсан субст.-пор. бан.темн.стекл. 0,1 кг ФАРМА ВАМ
45140	Моликсан р-р д/ин. 1 % амп.в бл. 2 мл 5 пач.картон. 1 ФАРМА ВАМ
45141	Моликсан р-р д/ин. 1 % амп.в бл. 2 мл 10 пач.картон. 1 ФАРМА ВАМ
45142	Моликсан субст.-пор. бан.темн.стекл. 0,5 кг ФАРМА ВАМ
45143	Моликсан р-р д/ин. 3 % амп.в бл. 1 мл 5 пач.картон. 1 ФАРМА ВАМ
45144	Моликсан р-р д/ин. 3 % амп.в бл. 2 мл 5 пач.картон. 1 ФАРМА ВАМ
45145	Моликсан р-р д/ин. 3 % амп.в бл. 1 мл 10 пач.картон. 1 ФАРМА ВАМ
45146	Моликсан субст.-пор. бан.темн.стекл. 1 кг ФАРМА ВАМ
45147	Моликсан р-р д/ин. 1 % амп.в бл. 1 мл 5 пач.картон. 1 ФАРМА ВАМ
45148	Моликсан р-р д/ин. 1 % амп.в бл. 1 мл 10 пач.картон. 1 ФАРМА ВАМ
45149	Моликсан субст.-пор. бан.темн.стекл. 0,75 кг ФАРМА ВАМ
45150	Моликсан р-р д/ин. 3 % амп.в бл. 2 мл 10 пач.картон. 1 ФАРМА ВАМ
45151	Моликсан субст.-пор. бан.темн.стекл. 0,25 кг ФАРМА ВАМ
45152	Моликсан субст.-пор. бан.темн.стекл. 0,15 кг ФАРМА ВАМ
47469	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. бан.темн.стекл. 250 г Мапо-Фонд
47470	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. бан.темн.стекл. 100 г Мапо-Фонд
47471	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. бан.темн.стекл. 50 г Медэлва
47472	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. бан.темн.стекл. 150 г Мапо-Фонд
47473	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. бан.темн.стекл. 50 г Мапо-Фонд
47474	Натрия дезоксирибонуклеат (ДНК-Na) субст.-пор. фл.стекл. 400 г кор. 1 Техномедсервис
